CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0160,0.9499999284744263
C0001,C0091,0.9499995708465576
C0001,C0084,0.9499986171722412
C0002,C0026,0.9499999284744263
C0002,C0103,0.9499998688697815
C0002,C0120,0.9499986171722412
C0003,C0049,0.9499992728233337
C0003,C0060,0.9499984979629517
C0003,C0183,0.94999760389328
C0004,C0176,0.9499992728233337
C0004,C0056,0.9499989748001099
C0004,C0019,0.9499984383583069
C0005,C0005,0.9499999284744263
C0005,C0185,0.9499981999397278
C0005,C0096,0.9499928951263428
C0006,C0127,0.9499999284744263
C0006,C0022,0.9499999284744263
C0006,C0183,0.9499984979629517
C0007,C0007,0.9499999284744263
C0007,C0118,0.9499999284744263
C0007,C0196,0.9499997496604919
C0008,C0040,0.9499999284744263
C0008,C0178,0.9499996304512024
C0008,C0101,0.9499987363815308
C0009,C0009,0.9499999284744263
C0009,C0130,0.9499999284744263
C0009,C0165,0.9499999284744263
C0010,C0115,0.9499998092651367
C0010,C0094,0.9499998092651367
C0010,C0035,0.949998676776886
C0011,C0058,0.9499998688697815
C0011,C0143,0.9499995708465576
C0011,C0155,0.9499995112419128
C0012,C0012,0.9499999284744263
C0012,C0169,0.9499988555908203
C0012,C0164,0.9499988555908203
C0013,C0015,0.9499998688697815
C0013,C0119,0.9499997496604919
C0013,C0195,0.9499990344047546
C0014,C0192,0.9499998688697815
C0014,C0165,0.9499981999397278
C0014,C0009,0.9499979019165039
C0015,C0015,0.9499999284744263
C0015,C0013,0.9499998688697815
C0015,C0041,0.9499994516372681
C0016,C0189,0.9499990940093994
C0016,C0032,0.9499984383583069
C0016,C0041,0.9499981999397278
C0017,C0147,0.9499998688697815
C0017,C0043,0.9499998688697815
C0017,C0076,0.9499965906143188
C0018,C0155,0.9499999284744263
C0018,C0027,0.9499999284744263
C0018,C0058,0.9499995708465576
C0019,C0083,0.9499999284744263
C0019,C0171,0.9499993920326233
C0019,C0004,0.9499984383583069
C0020,C0104,0.9499999284744263
C0020,C0163,0.9499983787536621
C0020,C0089,0.9499921798706055
